Price_Category,Car_Name,Actual_Price,Mileage,Engine,Seating_Capacity,Image_URL,Car_type,overview,overview_clean,Price_Num
Price_Category,Car_Name,Actual_Price,Mileage,Engine,Seating_Capacity,Image_URL,Custom,Price_Category Car_Name Actual_Price Mileage Engine Seating_Capacity Custom,price category car name actual price mileage engine seating capacity custom,0.0
1 - 5 Lakh,Maruti Wagon R,499000,25.19 kmpl,1197 cc,5 seater,https://www.autovista.in/assets/product_images/gallery/new-wagonR-side.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Wagon R 499000 25.19 kmpl 1197 cc 5 seater Petrol/Diesel,1 5 lakh maruti wagon r 499000 25 19 kmpl 1197 cc 5 seater petrol diesel,499000.0
1 - 5 Lakh,Tata Tiago,457000,19.01 kmpl,1199 cc,5 seater,https://wallpaperaccess.com/full/9236590.jpg,Petrol/Diesel,1 - 5 Lakh Tata Tiago 457000 19.01 kmpl 1199 cc 5 seater Petrol/Diesel,1 5 lakh tata tiago 457000 19 01 kmpl 1199 cc 5 seater petrol diesel,457000.0
1 - 5 Lakh,Maruti Alto K10,370000,24.9 kmpl,998 cc,5 seater,https://www.financialexpress.com/wp-content/uploads/2025/02/Maruti-Alto-K10.jpg?resize=300,Petrol/Diesel,1 - 5 Lakh Maruti Alto K10 370000 24.9 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti alto k10 370000 24 9 kmpl 998 cc 5 seater petrol diesel,370000.0
1 - 5 Lakh,Maruti S-Presso,350000,25.3 kmpl,998 cc,5 seater,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/S-Presso/10348/Maruti-S-Presso-LXi/1687519307943/front-left-side-47.jpg,Petrol/Diesel,1 - 5 Lakh Maruti S-Presso 350000 25.3 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti s presso 350000 25 3 kmpl 998 cc 5 seater petrol diesel,350000.0
1 - 5 Lakh,Maruti Celerio,470000,26.68 kmpl,998 cc,5 seater,https://stat.overdrive.in/wp-content/odgallery/2014/02/15320_IMG_2441.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Celerio 470000 26.68 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti celerio 470000 26 68 kmpl 998 cc 5 seater petrol diesel,470000.0
1 - 5 Lakh,Renault KWID,430000,22.3 kmpl,999 cc,5 seater,http://s4.paultan.org/image/2015/05/renault-kwid-1656-e1432116707242.jpg,Petrol/Diesel,1 - 5 Lakh Renault KWID 430000 22.3 kmpl 999 cc 5 seater Petrol/Diesel,1 5 lakh renault kwid 430000 22 3 kmpl 999 cc 5 seater petrol diesel,430000.0
1 - 5 Lakh,Citroen C3,480000,19.3 kmpl,1199 cc,5 seater,https://mediacloud.carbuyer.co.uk/image/private/s--wn2eU5Hm--/v1605173617/autoexpress/2020/11/Citroen+C3+facelift+2020+UK.jpg,Petrol/Diesel,1 - 5 Lakh Citroen C3 480000 19.3 kmpl 1199 cc 5 seater Petrol/Diesel,1 5 lakh citroen c3 480000 19 3 kmpl 1199 cc 5 seater petrol diesel,480000.0
1 - 5 Lakh,Vayve Mobility Eva,325000,250 km,18 kWh,3 seater,https://www.motorindiaonline.in/wp-content/uploads/2025/01/EVA_Bharat-Mobility_2025.jpg,Electric,1 - 5 Lakh Vayve Mobility Eva 325000 250 km 18 kWh 3 seater Electric,1 5 lakh vayve mobility eva 325000 250 km 18 kwh 3 seater electric,325000.0
1 - 5 Lakh,Bajaj Qute,361000,,216 cc,4 seater,https://ic1.maxabout.us/autos/cars_india/N/2019/5/new-bajaj-qute-rear-3-quarter.jpg,Petrol/Diesel,1 - 5 Lakh Bajaj Qute 361000 216 cc 4 seater Petrol/Diesel,1 5 lakh bajaj qute 361000 216 cc 4 seater petrol diesel,361000.0
1 - 5 Lakh,PMV EaS E,479000,160 km,10 kWh,2 seater,https://cdni.autocarindia.com/ExtraImages/20221116022341_PMV+Eas_E_4_.jpg,Electric,1 - 5 Lakh PMV EaS E 479000 160 km 10 kWh 2 seater Electric,1 5 lakh pmv eas e 479000 160 km 10 kwh 2 seater electric,479000.0
1 - 5 Lakh,Maruti Alto Tour H1,400000,24.39 kmpl,998 cc,5 seater,https://images.bhaskarassets.com/web2images/521/2023/06/10/alto-h1_1686382375.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Alto Tour H1 400000 24.39 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti alto tour h1 400000 24 39 kmpl 998 cc 5 seater petrol diesel,400000.0
1 - 5 Lakh,Strom Motors R3,450000,200 km,30 kWh,2 seater ,https://www.team-bhp.com/forum/attachments/electric-cars/1750309d1523338436-strom-motors-unveils-strom-r3-electric-car-india-3.jpg,Electric,1 - 5 Lakh Strom Motors R3 450000 200 km 30 kWh 2 seater  Electric,1 5 lakh strom motors r3 450000 200 km 30 kwh 2 seater electric,450000.0
1 - 5 Lakh,Maruti Wagon R tour,499000,25.4 kmpl,998 cc,5 seater,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Wagon-R-tour/9442/1675922710720/front-left-side-47.jpg,Petrol/Diesel,1 - 5 Lakh Maruti Wagon R tour 499000 25.4 kmpl 998 cc 5 seater Petrol/Diesel,1 5 lakh maruti wagon r tour 499000 25 4 kmpl 998 cc 5 seater petrol diesel,499000.0
5 - 10 Lakh,Hyundai Venue,726000,24.2 kmpl,1493 cc,5 seater,https://imgd.aeplcdn.com/0x0/n/cw/ec/35455/venue-exterior-left-front-three-quarter.jpeg,Petrol/Diesel,5 - 10 Lakh Hyundai Venue 726000 24.2 kmpl 1493 cc 5 seater Petrol/Diesel,5 10 lakh hyundai venue 726000 24 2 kmpl 1493 cc 5 seater petrol diesel,726000.0
5 - 10 Lakh,Tata Nexon,732000,24.08 kmpl,1497 cc,5 seater,https://ic1.maxabout.us/autos/cars_india/N/2020/10/new-tata-nexon-front-3-quarter-view.jpg,Petrol/Diesel,5 - 10 Lakh Tata Nexon 732000 24.08 kmpl 1497 cc 5 seater Petrol/Diesel,5 10 lakh tata nexon 732000 24 08 kmpl 1497 cc 5 seater petrol diesel,732000.0
5 - 10 Lakh,Tata Punch,550000,20.09 kmpl,1199 cc,5 seater,https://images.news18.com/ibnlive/uploads/2022/09/tata-punch-camo-edition-167203463216x9.jpg?impolicy=website&width=1200&height=675,Petrol/Diesel,5 - 10 Lakh Tata Punch 550000 20.09 kmpl 1199 cc 5 seater Petrol/Diesel,5 10 lakh tata punch 550000 20 09 kmpl 1199 cc 5 seater petrol diesel,550000.0
